,time,open,high,low,close,%Change
0,"09-Sep-2022, 13:00:00",1719.33,1722.98,1717.4,1722.41,0.1791
1,"09-Sep-2022, 14:00:00",1722.3,1729.49,1721.05,1727.2,0.2845
2,"09-Sep-2022, 15:00:00",1727.09,1729.26,1725.61,1728.46,0.0793
3,"09-Sep-2022, 16:00:00",1728.57,1728.92,1724.35,1727.09,-0.0856
4,"09-Sep-2022, 17:00:00",1727.32,1729.37,1725.15,1726.75,-0.033
5,"09-Sep-2022, 18:00:00",1726.86,1728.57,1719.22,1720.7,-0.3567
6,"09-Sep-2022, 19:00:00",1721.05,1722.53,1717.51,1718.54,-0.1458
7,"09-Sep-2022, 20:00:00",1718.76,1719.68,1710.67,1713.29,-0.3183
8,"09-Sep-2022, 21:00:00",1713.29,1717.51,1711.58,1714.54,0.073
9,"09-Sep-2022, 22:00:00",1714.32,1718.65,1712.61,1716.83,0.1464
10,"09-Sep-2022, 23:00:00",1716.71,1720.36,1714.09,1720.13,0.1992
11,"10-Sep-2022, 00:00:00",1720.02,1720.25,1715.11,1716.26,-0.2186
12,"10-Sep-2022, 01:00:00",1716.48,1716.6,1713.63,1715.46,-0.0594
13,"10-Sep-2022, 02:00:00",1715.57,1716.37,1713.86,1715.8,0.0134
14,"10-Sep-2022, 03:00:00",1715.46,1718.19,1714.43,1716.03,0.0332
15,"10-Sep-2022, 04:00:00",1716.03,1716.26,1715.91,1716.14,0.0064
16,"12-Sep-2022, 05:00:00",1717.05,1720.25,1715.8,1719.45,0.1398
17,"12-Sep-2022, 06:00:00",1719.56,1719.56,1716.71,1718.42,-0.0663
18,"12-Sep-2022, 07:00:00",1718.19,1718.76,1715.23,1716.83,-0.0792
19,"12-Sep-2022, 08:00:00",1716.83,1718.76,1714.66,1716.48,-0.0204
20,"12-Sep-2022, 09:00:00",1716.6,1716.71,1712.04,1713.86,-0.1596
21,"12-Sep-2022, 10:00:00",1713.97,1714.32,1711.69,1713.63,-0.0198
22,"12-Sep-2022, 11:00:00",1713.63,1713.86,1711.69,1712.49,-0.0665
23,"12-Sep-2022, 12:00:00",1712.72,1715.8,1711.92,1713.06,0.0199
24,"12-Sep-2022, 13:00:00",1712.95,1720.82,1711.92,1720.59,0.446
25,"12-Sep-2022, 14:00:00",1720.48,1726.52,1719.11,1724.47,0.2319
26,"12-Sep-2022, 15:00:00",1724.13,1725.84,1721.16,1725.84,0.0992
27,"12-Sep-2022, 16:00:00",1725.72,1727.43,1723.78,1725.04,-0.0394
28,"12-Sep-2022, 17:00:00",1725.04,1727.55,1722.41,1727.2,0.1252
29,"12-Sep-2022, 18:00:00",1726.98,1729.94,1725.27,1729.49,0.1453
30,"12-Sep-2022, 19:00:00",1729.49,1733.93,1726.29,1729.71,0.0127
31,"12-Sep-2022, 20:00:00",1729.6,1732.57,1722.87,1725.72,-0.2243
32,"12-Sep-2022, 21:00:00",1725.72,1730.51,1724.7,1729.94,0.2445
33,"12-Sep-2022, 22:00:00",1730.06,1735.07,1727.78,1734.16,0.237
34,"12-Sep-2022, 23:00:00",1734.16,1734.85,1729.37,1731.65,-0.1447
35,"13-Sep-2022, 00:00:00",1731.88,1732.0,1727.32,1728.69,-0.1842
36,"13-Sep-2022, 01:00:00",1728.8,1729.03,1722.98,1726.75,-0.1186
37,"13-Sep-2022, 02:00:00",1726.75,1726.98,1723.33,1724.47,-0.132
38,"13-Sep-2022, 03:00:00",1724.58,1726.29,1723.33,1724.35,-0.0133
39,"13-Sep-2022, 04:00:00",1724.58,1724.58,1723.56,1723.67,-0.0528
40,"13-Sep-2022, 05:00:00",1724.58,1725.61,1723.33,1725.27,0.04
41,"13-Sep-2022, 06:00:00",1725.04,1726.52,1723.21,1725.27,0.0133
42,"13-Sep-2022, 07:00:00",1725.27,1727.66,1723.56,1724.58,-0.04
43,"13-Sep-2022, 08:00:00",1724.7,1725.27,1719.79,1723.67,-0.0597
44,"13-Sep-2022, 09:00:00",1723.67,1724.01,1719.79,1722.07,-0.0928
45,"13-Sep-2022, 10:00:00",1722.3,1723.1,1720.13,1721.16,-0.0662
46,"13-Sep-2022, 11:00:00",1721.27,1722.64,1719.22,1721.96,0.0401
47,"13-Sep-2022, 12:00:00",1721.96,1722.98,1719.11,1721.39,-0.0331
48,"13-Sep-2022, 13:00:00",1721.39,1725.04,1720.36,1722.98,0.0924
49,"13-Sep-2022, 14:00:00",1722.87,1725.38,1721.73,1723.9,0.0598
50,"13-Sep-2022, 15:00:00",1723.78,1726.18,1720.93,1725.38,0.0928
51,"13-Sep-2022, 16:00:00",1725.27,1728.12,1724.13,1726.41,0.0661
52,"13-Sep-2022, 17:00:00",1726.75,1728.46,1723.67,1728.12,0.0793
53,"13-Sep-2022, 18:00:00",1728.0,1731.54,1727.09,1729.71,0.099
54,"13-Sep-2022, 19:00:00",1729.6,1731.88,1702.45,1703.82,-1.4905
